,X,sample_uid,tipnamecodes,matrix.species,matrix.subspecies,aos.howardmoore.species,aos.clements.species,iucn.species,howardmoore.family,jetz.tip,notes
1968,1968,2181,Lophot_vitsus_A18368,Lophotriccus vitiosus,vitiosus,Lophotriccus vitiosus,Lophotriccus vitiosus,Lophotriccus vitiosus,Pipromorphidae,Lophotriccus_vitiosus,
1969,1969,3091,Machae_delsus_L11828,Machaeropterus deliciosus,-,Machaeropterus deliciosus,Machaeropterus deliciosus,Machaeropterus deliciosus,Pipridae,Machaeropterus_deliciosus,
1970,1970,3091,Machae_delsus_L11828,Machaeropterus deliciosus,-,Machaeropterus deliciosus,Machaeropterus deliciosus,Machaeropterus deliciosus,Pipridae,Machaeropterus_deliciosus,
1971,1971,3091,Machae_delsus_L11828,Machaeropterus deliciosus,-,Machaeropterus deliciosus,Machaeropterus deliciosus,Machaeropterus deliciosus,Pipridae,Machaeropterus_deliciosus,
1972,1972,3093,Machae_reglus_L27735,Machaeropterus regulus,ssp. nov.,Machaeropterus eckelberryi,Machaeropterus eckelberryi,NA,Pipridae,NA,
1973,1973,3093,Machae_reglus_L27735,Machaeropterus regulus,ssp. nov.,Machaeropterus eckelberryi,Machaeropterus eckelberryi,NA,Pipridae,NA,
1974,1974,3093,Machae_reglus_L27735,Machaeropterus regulus,ssp. nov.,Machaeropterus eckelberryi,Machaeropterus eckelberryi,NA,Pipridae,NA,
1975,1975,3105,Machae_pyrlus_L22641,Machaeropterus pyrocephalus,pyrocephalus,Machaeropterus pyrocephalus,Machaeropterus pyrocephalus,Machaeropterus pyrocephalus,Pipridae,Machaeropterus_pyrocephalus,
1976,1976,3105,Machae_pyrlus_L22641,Machaeropterus pyrocephalus,pyrocephalus,Machaeropterus pyrocephalus,Machaeropterus pyrocephalus,Machaeropterus pyrocephalus,Pipridae,Machaeropterus_pyrocephalus,
1977,1977,3105,Machae_pyrlus_L22641,Machaeropterus pyrocephalus,pyrocephalus,Machaeropterus pyrocephalus,Machaeropterus pyrocephalus,Machaeropterus pyrocephalus,Pipridae,Machaeropterus_pyrocephalus,
1978,1978,3099,Machae_reglus_MPEGUNA8,Machaeropterus regulus,regulus,Machaeropterus regulus,Machaeropterus regulus,Machaeropterus regulus,Pipridae,Machaeropterus_regulus,
1979,1979,3099,Machae_reglus_MPEGUNA8,Machaeropterus regulus,regulus,Machaeropterus regulus,Machaeropterus regulus,Machaeropterus regulus,Pipridae,Machaeropterus_regulus,
1980,1980,3103,Machae_reglus_L42519,Machaeropterus regulus,striolatus,Machaeropterus striolatus,Machaeropterus striolatus,Machaeropterus striolatus,Pipridae,Machaeropterus_regulus,
1981,1981,3097,Machae_reglus_ICN37287,Machaeropterus regulus,antioquiae,Machaeropterus striolatus,Machaeropterus striolatus,Machaeropterus striolatus,Pipridae,Machaeropterus_regulus,
1982,1982,3097,Machae_reglus_ICN37287,Machaeropterus regulus,antioquiae,Machaeropterus striolatus,Machaeropterus striolatus,Machaeropterus striolatus,Pipridae,Machaeropterus_regulus,
1983,1983,3101,Machae_reglus_FMNH344155,Machaeropterus regulus,aureopectus,Machaeropterus striolatus,Machaeropterus striolatus,Machaeropterus striolatus,Pipridae,Machaeropterus_regulus,
1984,1984,3097,Machae_reglus_ICN37287,Machaeropterus regulus,antioquiae,Machaeropterus striolatus,Machaeropterus striolatus,Machaeropterus striolatus,Pipridae,Machaeropterus_regulus,
1985,1985,3103,Machae_reglus_L42519,Machaeropterus regulus,striolatus,Machaeropterus striolatus,Machaeropterus striolatus,Machaeropterus striolatus,Pipridae,Machaeropterus_regulus,
1986,1986,3103,Machae_reglus_L42519,Machaeropterus regulus,striolatus,Machaeropterus striolatus,Machaeropterus striolatus,Machaeropterus striolatus,Pipridae,Machaeropterus_regulus,
1987,1987,3101,Machae_reglus_FMNH344155,Machaeropterus regulus,aureopectus,Machaeropterus striolatus,Machaeropterus striolatus,Machaeropterus striolatus,Pipridae,Machaeropterus_regulus,
1988,1988,3097,Machae_reglus_ICN37287,Machaeropterus regulus,antioquiae,Machaeropterus striolatus,Machaeropterus striolatus,Machaeropterus striolatus,Pipridae,Machaeropterus_regulus,
1989,1989,2689,Machet_rixosa_L37884,Machetornis rixosa,rixosa,Machetornis rixosa,Machetornis rixosa,Machetornis rixosa,Tyrannidae,Machetornis_rixosa,
1990,1990,2689,Machet_rixosa_L37884,Machetornis rixosa,rixosa,Machetornis rixosa,Machetornis rixosa,Machetornis rixosa,Tyrannidae,Machetornis_rixosa,
1991,1991,69,Macken_leach_SB5986,Mackenziaena leachii,-,Mackenziaena leachii,Mackenziaena leachii,Mackenziaena leachii,Thamnophilidae,Mackenziaena_leachii,
1992,1992,69,Macken_leach_SB5986,Mackenziaena leachii,-,Mackenziaena leachii,Mackenziaena leachii,Mackenziaena leachii,Thamnophilidae,Mackenziaena_leachii,
1993,1993,71,Macken_sever_KU3729,Mackenziaena severa,-,Mackenziaena severa,Mackenziaena severa,Mackenziaena severa,Thamnophilidae,Mackenziaena_severa,
1994,1994,71,Macken_sever_KU3729,Mackenziaena severa,-,Mackenziaena severa,Mackenziaena severa,Mackenziaena severa,Thamnophilidae,Mackenziaena_severa,
1995,1995,3121,Manacus_aurcus_L71959,Manacus aurantiacus,-,Manacus aurantiacus,Manacus aurantiacus,Manacus aurantiacus,Pipridae,Manacus_aurantiacus,
1996,1996,3121,Manacus_aurcus_L71959,Manacus aurantiacus,-,Manacus aurantiacus,Manacus aurantiacus,Manacus aurantiacus,Pipridae,Manacus_aurantiacus,
1997,1997,3121,Manacus_aurcus_L71959,Manacus aurantiacus,-,Manacus aurantiacus,Manacus aurantiacus,Manacus aurantiacus,Pipridae,Manacus_aurantiacus,
1998,1998,3119,Manacus_cande_L71894,Manacus candei,-,Manacus candei,Manacus candei,Manacus candei,Pipridae,Manacus_candei,
1999,1999,3119,Manacus_cande_L71894,Manacus candei,-,Manacus candei,Manacus candei,Manacus candei,Pipridae,Manacus_candei,
2000,2000,3125,Manacus_manac_L45831,Manacus manacus,manacus,Manacus manacus,Manacus manacus,Manacus manacus,Pipridae,Manacus_manacus,
2001,2001,3125,Manacus_manac_L45831,Manacus manacus,manacus,Manacus manacus,Manacus manacus,Manacus manacus,Pipridae,Manacus_manacus,
2002,2002,200448,Manacus_manac_LSUMZ12013,Manacus manacus,,Manacus manacus,Manacus manacus,Manacus manacus,Pipridae,Manacus_manacus,
2003,2003,3125,Manacus_manac_L45831,Manacus manacus,manacus,Manacus manacus,Manacus manacus,Manacus manacus,Pipridae,Manacus_manacus,
2004,2004,200448,Manacus_manac_LSUMZ12013,Manacus manacus,,Manacus manacus,Manacus manacus,Manacus manacus,Pipridae,Manacus_manacus,
2005,2005,3123,Manacus_vitnus_L28569,Manacus vitellinus,vitellinus,Manacus vitellinus,Manacus vitellinus,Manacus vitellinus,Pipridae,Manacus_vitellinus,
