"","species","dr.statistic","tb.statistic","nh.statistic","div","elev.mid","elev.max","elev.range","lat.mid","lat.max","lat.range","temp","temp.stability","temp.seasonality","min.temp.cold.q","precip","precip.stability","precip.seasonality","min.precip.dry.q"
"Empinax_alblar_L60923","Empinax_alblar_L60923",-1.34509984912299,0.927538438592965,17.2860341777613,89,2100,3000,1800,18.7424011230002,28.6373291010002,19.7898559560001,163.9212063,70.70497053,2517.975471,61.27858758,1102.966355,185.2640065,92.78299619,40.19851475
"Empinax_vircen_LSUMZ23595","Empinax_vircen_LSUMZ23595",-1.63877564142274,1.51400110461279,17.9276757507074,15,500,1000,1000,35.9730834960002,45.3436889650002,18.741210938,143.8674689,150.0579956,8183.385129,-19.78998943,1093.814518,86.88749149,24.35765858,183.704328
"Sayorn_nigcan_LSUMZ38236","Sayorn_nigcan_LSUMZ38236",-1.17326931563285,0.501817169208051,17.7201925748181,554,1500,3000,3000,25.4978942875002,42.9403076180002,34.884826661,187.3492188,65.08017312,3488.730666,81.49443418,1057.457818,239.848949,73.40301937,74.40429801
"Sayorn_phoebe_A6230","Sayorn_phoebe_A6230",-1.17326931563285,0.501817169208051,17.7201925748181,15,1250,2500,2500,50.2709045415002,65.2149047860001,29.8880004889999,60.25957283,240.6385124,10656.95979,-136.4925602,742.2965864,160.4281571,38.47905127,110.7404068
"Sayorn_saya_L57523","Sayorn_saya_L57523",-1.57139687547417,1.12974881005729,18.4505776918553,32,1395,2850,2910,48.2705993655002,69.8654785160001,43.1897583009999,36.3520306,151.8989774,10127.75064,-141.5154037,422.2286163,127.1612875,54.18033792,45.13247222
"Xenotr_calzon_W99654","Xenotr_calzon_W99654",-1.98520825083257,1.71482676769036,19.8422447590269,82,1600,2000,800,15.9979858395002,17.4614868160002,2.927001953,180.5310866,45.41826251,1222.075153,115.9762102,2007.882864,493.8373141,74.36484839,106.5475572
"Xenotr_mexic_LSUMZ24529","Xenotr_mexic_LSUMZ24529",-1.98520825083257,1.71482676769036,19.8422447590269,37,1450,2000,1100,17.7036132810001,19.0487060540001,2.690185546,204.0611017,75.40601419,1335.820801,123.0644437,1002.614381,225.8371534,98.7607934,17.07120998
"Cnemot_fustus_YPM137446","Cnemot_fustus_YPM137446",-2.29086692463704,2.16626914136679,20.2043347207916,599,1200,2400,2400,5.12927246050012,12.4890747070002,14.7196044930001,245.853043,34.52821407,1139.890448,191.7039724,1856.658501,152.2735853,58.2118509,146.309054
"Lathro_euler_SB5766","Lathro_euler_SB5766",-1.61685832394666,1.11156767078565,18.6960469734469,603,800,1600,1600,10.8013610834999,12.2330932620001,46.068908691,240.8304022,34.88836642,1424.078482,179.1915657,1720.482787,133.2228021,58.39523903,127.296708
"Lathro_gritus_L66161","Lathro_gritus_L66161",-1.61685832394666,1.11156767078565,18.6960469734469,253,700,1400,1400,2.26034545899981,1.1702880860002,6.86126709000001,236.3280777,22.01555448,608.5849255,186.9805134,977.2861323,149.6728278,103.730903,32.04454375
"Aphano_caplis_W69952","Aphano_caplis_W69952",-1.59979770558774,1.05385896548093,18.6883006552651,130,525,1050,1050,10.6248168945002,11.4757080080001,1.70178222699987,247.3529,31.31388562,453.3061314,222.8651961,3497.18718,667.7115515,41.0393936,335.1306956
